id,name,price,short_description,image,category-id,is_sale,sale_price
186558014,Combo 10 Móc Dán Tường Treo Đồ Đa Năng Siêu Chịu Lực,23000,"Combo 10 Móc Dán Tường Treo Đồ Đa Năng Siêu Chịu LựcMỗi miếng dán sử dụng keo cường lực, độ bám dính tốt, nhưng khách chỉ nên dán trên bề mặt tường mịn màng, không lồi lỗ để đảm bảo thời gian sử dụng...",https://salt.tikicdn.com/cache/280x280/ts/product/c3/54/68/aa177948cd7eecff22b870d4689bbff3.jpg,4,0,0
184126392,"Bình giữ nhiệt 450ml kèm cốc đẹp lõi INOX 304 cao cấp giữ nhiệt tới 8 tiếng chống tràn có cốc uống, có thể dùng làm quà tặng độc đáo",102000,"1. THÔNG TIN SẢN PHẨM Bình giữ nhiệt 450ml có cốc- Chất liệu: Lõi inox 304 an toàn- Dùng để đựng trà,cafe,nước uống-Dung tích: 500ml-Trọng lượng: 230 gram-Kích thước: 15cm cao x 9 cm đường kính-Cấu t...",https://salt.tikicdn.com/cache/280x280/ts/product/19/61/b8/f2531ca0fca93c2a3e188ce421e32606.jpg,4,0,0
48045630,5 Viên Pin Smartkey - Cmos Panasonic CR2032 - Hàng Chính Hãng,80000,Panasonic là thương hiệu nổi tiếng thế giới chuyên sản xuất các dòng pin gắn trong. Mang lại hiệu suất tuyệt vời cho thiết bị đồng thời bảo vệ môi trườngVới công nghệ NHẬT BẢN Pin CR2032 sẽ mang lại ...,https://salt.tikicdn.com/cache/280x280/ts/product/5a/56/f5/e3b92510e087e3a288facd63b36dfded.png,4,0,0
92521124,Ủng Bọc Giày Đi Mưa Chống Nước Có Đế Chống Trơn Trượt Cao Cấp,49000,"Ủng Bọc Giày Đi Mưa Chống Nước Có Đế Chống Trơn Trượt Cao CấpNhững cơn mưa bất chợt không báo trước luôn là nỗi lo đối với mỗi người khi mà áo mưa không thể che hết được toàn cơ thể, vẫn còn đôi chân...",https://salt.tikicdn.com/cache/280x280/ts/product/f6/23/ec/c11d7f10f34e4b1b08b8a98078c9f791.jpg,4,0,0
122692850,"Cây chà sàn thông minh cao cấp, chổi chà sàn đa năng 2 trong 1, cọ sàn và gạt nước – Parroti Easy ES02",149000,"Chổi cọ sàn vệ sinh Parroti Easy ES02 được thiết kế tinh tế, cây chổi làm bằng nhôm cao cấp, có thể điều chỉnh độ dài linh hoạt phù hợp không gian phòng tắm. Cộng với tính năng vừa chà vừa gạt nước t...",https://salt.tikicdn.com/cache/280x280/ts/product/3f/19/bc/d99839805877de6adfbadbf49d2b8c23.jpg,4,0,0
52574827,Ô (dù) tự động 2 chiều cao cấp DandiHome chống UV,104500,"HƯỚNG DẪN SỬ DỤNG:Mở ô (dù) đơn giản chỉ với 1 nút bấm.Khi thu ô (dù), ngoài việc bấm nút để thu lại sau đó quý khách dùng tay ấn từ chóp ô để thu phần que ngắn lại như trước khi mở vào lần tới.Dù...",https://salt.tikicdn.com/cache/280x280/ts/product/e3/8b/a1/ec9bf2cc94aaf34f59ad586f2bafda1e.jpg,4,0,0
2119169,Bộ Cây Lau Nhà Lock&Lock Squeeze Flat Mop ETM471,490000,"Đặc điểm nổi bậtBộ Cây Lau Nhà Lock&Lock Squeeze Flat Mop ETM471 thiết kế xô tứ giác thông minh, khe vắt vừa có thể vắt khô nước vừa loại các vết bẩn một cách dễ dàng.Thiết kế thùng chứa nước n...",https://salt.tikicdn.com/cache/280x280/ts/product/b6/91/71/54025594f02c08948c74a82cffb5e67f.jpg,4,0,0
107961500,Ly Nhựa 2 Lớp LocknLock Double Wall Cold Cup Cherry Blossom 750ml HAP509,129000,Cấu trúc tường đôi: Ly Nhựa 2 Lớp LocknLock Double Wall Cold Cup Cherry Blossom 750ml HAP509 sử dụng vệ sinh hơn vì nước lạnh không bị ngưng tụ bên ngoài thành cốc.Miệng ly rộng: Dễ dàng vệ...,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/f0/4b/fe/9701c09fb614fa990583de41a4fd95a6.jpg,4,0,0
892121,Pin Max 8 + 4 Viên Energizer E91 BP8+4 AA,155000,"Pin Max 8 + 4 Viên Energizer E91 BP8+4 AA là sản phẩm có thể sử dụng cho các loại máy ảnh, điều khiển từ xa, đèn Pin, máy chơi game không dây, máy nghe nhạc MP3 và các thiết bị kỹ thuật số cá nhân kh...",https://salt.tikicdn.com/cache/280x280/ts/product/63/be/3b/dda65b3b6ce476ced03bd5fb68e76078.jpg,4,0,0
187636657,"Keo Dán Giày Đa Năng Dán Mọi Loại Giày, Chống Thấm",41000,"Keo Dán Giày Đa Năng Dán Mọi Loại Giày, Chống ThấmĐẶC ĐIỂM NỔI BẬT- Đây là loại keo dán giày chuyên dụng rất dễ sử dụng, keo này dạng lỏng, sánh, nhanh khô, khi khô rất dai , độ đàn hồi rất tốt và bá...",https://salt.tikicdn.com/cache/280x280/ts/product/45/de/25/886472e4eee9c787da2a658134b197c7.jpg,4,0,0
273624233,Bình giữ nhiệt LocknLock Metro Two Way LHC4272/LHC4274 - Hàng chính hãng,312000,"Đặc điểm nổi bậtBình giữ nhiệt Lock&Lock LHC4274 có 2 loại nắp:Nắp đậy trên cùng: nắp được tích hợp cùng tay cầm. Nắp có gioăng silicon giúp vặn kín, khít và chống rò rỉ nước tối đa. Tay cầm b...",https://salt.tikicdn.com/cache/280x280/ts/product/3c/9d/13/db84e6be4bcaaacf33cd5adde0c97432.jpg,4,0,0
71178441,"Áo Mưa Bít Dù Trơn, Áo Mưa Kín Người Vải Dù Siêu Dày 1M4, Chống Thấm Hiệu Quả, Phù Hợp Nam Và Nữ, Có Túi Đựng, Có Lựa Chọn Màu Sắc",109250,"Áo mưa là sản phẩm thông dụng, không thể thiếu khi mùa mưa đến, giúp bạn tránh những cơn mưa bất chợt, áo mưa được cắt may từ vải dù có độ bền cao hơn các loại vải khác.                              ...",https://salt.tikicdn.com/cache/280x280/ts/product/f1/37/b1/cc441ae23c9f735f572fa2ffa83c2b26.jpg,4,0,0
